output,nstep_coarse,aexp,z,time
615,23804,0.597518754103513,0.6735876374296395,7.561844212438314
616,23825,0.598264226418786,0.6715022490748066,7.5740704430585675
617,23830,0.598444100487242,0.6709998464114171,7.57702049472178
618,23856,0.599354632774904,0.6684612837147519,7.591953816198739
619,23870,0.599829292048367,0.6671409903725831,7.599689834438378
620,23884,0.600282510640817,0.6658822842139351,7.6070649891642645
621,23910,0.601175936948632,0.6634065646001495,7.621603574663819
622,23919,0.601473577199085,0.662583424955681,7.62644967166145
623,23938,0.602089532269208,0.6608825538472858,7.636646836927228
624,23966,0.603016338444375,0.6583298598172969,7.65193773836644
625,23967,0.603049473228224,0.6582387422491789,7.6524844122316225
626,23993,0.603935130309806,0.6558069729890048,7.667096415805047
627,24012,0.604593275980324,0.6540045014204627,7.677883974333626
628,24020,0.6048599005149,0.6532754099730012,7.682248463013889
629,24047,0.605766422742211,0.6508013030388089,7.697087705043182
630,24061,0.606221913728821,0.6495609567280116,7.704543827782195
631,24074,0.606671329250355,0.6483389799146582,7.711859987623415
632,24101,0.60758225041241,0.6458676982766165,7.72665435783047
633,24128,0.608492435866003,0.6434058026979508,7.741601152245594
634,24155,0.609402954576676,0.6409503637780254,7.756620991245178
635,24160,0.609559301432293,0.640529473753056,7.759195973100334
636,24183,0.610333491550289,0.6384485102725252,7.771946632513423
637,24210,0.611253155459605,0.6359833745939418,7.787060995027054
638,24221,0.611638010951804,0.6349539794687453,7.793349562999861
639,24236,0.612161655057926,0.63355543709345,7.8019059474653245
640,24262,0.613062586965763,0.6311548302911623,7.816627243266325
641,24281,0.613719165171581,0.6294097638623104,7.827307263161258
642,24289,0.613989521941899,0.6286922891407722,7.831690083329288
643,24316,0.614897564763213,0.6262871367608744,7.846460443310794
644,24338,0.615593168569671,0.6244494758177666,7.857989378191135
645,24344,0.615805840674399,0.6238884628064767,7.861498958483649
646,24372,0.616739385147028,0.6214304195306164,7.876849292944281
647,24399,0.617658347890325,0.6190180273861785,7.891959859050216
648,24425,0.618561757608848,0.6166534508464669,7.906747457202006
649,24452,0.619492625173006,0.6142242205397193,7.9219326240584635
650,24478,0.620387678801222,0.6118953263744771,7.936533561091045
651,24505,0.621297999865566,0.6095335897047407,7.951268677444997
652,24532,0.622233915045869,0.6071126562207452,7.966632477100614
653,24558,0.623153468361278,0.604741128424952,7.981802466175358
654,24584,0.624063359991462,0.6024013972133875,7.996741497258438
655,24610,0.624993450226812,0.6000167675950796,8.012012158593324
656,24620,0.625347858354933,0.599109977973928,8.017807339652101
657,24635,0.625888280300781,0.5977292297587571,8.026609600032609
658,24661,0.626809771640018,0.5953803613870718,8.041618625422226
659,24680,0.627475545965381,0.5936876049272712,8.052462594679072
660,24687,0.627720743294632,0.593065086158276,8.056435285468527
661,24713,0.628634248805852,0.5907501093037664,8.071195547182057
662,24740,0.629580278932007,0.5883597905835889,8.086814904043779
663,24742,0.629651020883275,0.58818133669854,8.087984148322542
664,24765,0.630472994557484,0.5861107591164623,8.10150222840256
665,24791,0.631394023113964,0.5837970639444969,8.11660359075046
666,24801,0.631748333422413,0.5829088057623077,8.122412931094841
667,24817,0.632316187240776,0.5814872688356716,8.131723572129161
668,24843,0.633254913451462,0.5791428992625549,8.146998988647848
669,24869,0.634157631758615,0.5768950019995012,8.161681597966437
670,24879,0.634505391361589,0.5760307376649612,8.167337867864592
671,24895,0.635072871248567,0.574622449285195,8.176530973921937
672,24920,0.635988874928929,0.5723545480441758,8.191345601303082
673,24940,0.636717648064841,0.5705548653147487,8.20337698867178
674,24945,0.636902972785129,0.570097868482345,8.206436532703945
675,24971,0.637838376194484,0.5677952868973957,8.221797005028742
676,24996,0.638735829962206,0.565592461063551,8.236494037311186
677,25002,0.638959909971982,0.5650434157032627,8.240163653792804
678,25021,0.639643823453994,0.563370055854099,8.251363671983196
679,25047,0.64058428133664,0.5610748329843576,8.26664266765982
680,25062,0.641113124979744,0.5597871281009805,8.275233439047629
681,25073,0.64150375848665,0.5588373205467518,8.281579063502065
682,25098,0.642404469059203,0.5566516862258029,8.296171319632018
683,25121,0.643240255879912,0.5546290687793836,8.309638627593113
684,25123,0.643322916488318,0.5544293143770807,8.310986326788028
685,25149,0.644252118753438,0.5521873671675273,8.326311053395516
686,25175,0.645191021576887,0.5499285739530873,8.341711829951421
687,25200,0.646090261507116,0.5477713557658785,8.35642246877762
688,25225,0.647013487226171,0.5455628356174258,8.371525490397902
689,25236,0.647432397327274,0.5445628055194538,8.378324822448072
690,25250,0.647946748258888,0.5433367058128189,8.386670892317925
691,25275,0.648863445826691,0.5411563194563072,8.401545604270721
692,25300,0.649798157837291,0.5389394197857964,8.41667383719886
693,25304,0.649953775887394,0.538570952426088,8.419178458324723
694,25324,0.650700056093529,0.5368063835793861,8.431189591794475
695,25349,0.65163058349698,0.5346118265866115,8.446465028426319
696,25373,0.652522368173615,0.5325145140985152,8.461088812332822
697,25384,0.65292201163369,0.5315764856784024,8.467620773034625
698,25398,0.653456989074034,0.5303226022833218,8.476364695970418
699,25423,0.65437845831921,0.528167663967009,8.49142562276825
700,25444,0.655182373793122,0.5262925866130768,8.504472108138149
701,25447,0.655294728998749,0.5260308922794785,8.506293526449182
702,25471,0.656223682791045,0.523870634700059,8.521353028480728
703,25496,0.657154683263764,0.5217117452979136,8.536423625898923
704,25507,0.657565798072615,0.5207603603032438,8.543033881919772
705,25520,0.658066010503518,0.5196043923235785,8.551076725821023
706,25544,0.658988557417859,0.5174770316473167,8.566052223005379
707,25568,0.659904419289691,0.5153709700510591,8.581080004218387
708,25570,0.659973059587723,0.5152133643526111,8.582201095850772
709,25593,0.660847473658772,0.5132084782945678,8.596482768955237
710,25617,0.66175088593134,0.51114266903113,8.611238065310301
711,25619,0.661834119533595,0.5109526246617746,8.612597507178938
712,25641,0.662688135976896,0.5090054366611809,8.626457250812514
713,25665,0.663590764936588,0.5069528583562475,8.641078883459429
714,25678,0.664101851360197,0.5057931218710274,8.649357941932559
715,25689,0.664521631389923,0.5048419084693836,8.656157933580564
716,25714,0.665457586487699,0.5027253731947423,8.67119974157479
717,25738,0.666365484924992,0.5006779652048796,8.685785919625522
718,25740,0.666439749246932,0.5005107380374396,8.686979040549774
719,25763,0.667288152230697,0.49860295984136815,8.700860189811403
720,25787,0.66822084690337,0.49651122773876555,8.716085732168432
721,25798,0.668616456674572,0.4956257657395926,8.722543765547163
722,25812,0.669154417737483,0.4944233699915759,8.731325577205105
723,25836,0.670059479249496,0.4924048251956017,8.74604538711566
724,25859,0.670975001863724,0.4903684894703444,8.760867356910556
725,25860,0.67100341513142,0.490305380642726,8.761327357121381
726,25883,0.671927807834467,0.4882551195832563,8.776292930347262
727,25906,0.672839551868103,0.4862384311736039,8.790970296373148
728,25909,0.672954959905008,0.48598354953971445,8.79282327080899
729,25929,0.673761715063295,0.4842042485391995,8.805776412759718
730,25953,0.674716613971182,0.4821037147941214,8.821108128925868
731,25967,0.675277974460489,0.48087163778582664,8.830258378287349
732,25976,0.675647747644954,0.48006117608711363,8.836292703004204
733,25999,0.67656541362571,0.4780536809308742,8.851268084514055
734,26021,0.677436263743075,0.47615363026869306,8.865470499009403
735,26022,0.677481255459153,0.47605559850104573,8.866198627847321
736,26045,0.678390116795158,0.47407807873762553,8.880907294377632
737,26069,0.679348601096822,0.47199832072293924,8.896419040129379
738,26074,0.679564605128992,0.4715304364773154,8.89991476731297
739,26092,0.68027592299708,0.4699917580418209,8.911384206853592
740,26115,0.681172695422373,0.468056495394215,8.925776608164714
741,26130,0.68177844202287,0.46675215636468526,8.935498303347691
742,26139,0.682122876796784,0.4660115266855609,8.941026175695077
743,26162,0.68304421189262,0.4640340736204174,8.955748537759309
744,26185,0.6839970617864,0.4619945842870916,8.971246666338722
745,26207,0.684910318245965,0.4600451670241592,8.986148467818523
746,26230,0.685849819696023,0.4580451452815315,9.001386665227598
747,26237,0.686140148267088,0.45742819819769287,9.006084491789561
748,26252,0.686760001726628,0.45611275771133286,9.01611438321939
749,26275,0.687701213654848,0.45411987087446426,9.031344198117099
750,26282,0.687991561221299,0.4535062003156467,9.036015995299508
751,26297,0.68860726387213,0.4522065805360045,9.045895435088257
752,26320,0.689566168565673,0.4501871547440366,9.061281825207292
753,26330,0.689964873378926,0.44934914599747167,9.067679361730322
754,26342,0.690479885339725,0.4482681121231895,9.075936244030736
755,26364,0.691394363279528,0.44635254944319525,9.09048686496828
756,26383,0.692167084272994,0.4447378714206456,9.102930243160085
757,26387,0.692325789356315,0.44440668739170186,9.105520190231289
758,26412,0.693287362228343,0.44240333010806765,9.12118261467842
759,26435,0.694205530767866,0.4404955818976153,9.136040683232649
760,26458,0.695128832934303,0.43858224924833533,9.150981825620626
761,26480,0.696053012814739,0.4366721809825129,9.165892166813011
762,26483,0.696180687602468,0.4364087051076293,9.16794086455436
763,26503,0.697016968889176,0.4346853012684655,9.181360018121692
764,26525,0.697916448726973,0.43283626832988276,9.195793269547917
765,26531,0.698166972185317,0.43232212327363784,9.199813224093328
766,26548,0.698871930498954,0.4308773272465787,9.211059220693455
767,26571,0.699774388436687,0.42903200877932135,9.225418260482924
768,26581,0.700181639252318,0.4282008323837798,9.23189804244442
769,26594,0.700734751176484,0.4270735086579778,9.240721759113077
770,26617,0.701668171189495,0.42517509138936904,9.255875930793653
771,26631,0.702247089841904,0.4240002051487728,9.265247234140277
772,26639,0.702588415373453,0.42330840947393256,9.270772475178516
773,26661,0.703508220997404,0.4214474972051394,9.285661920329595
774,26679,0.704285143750611,0.4198794463767679,9.298163664533856
775,26683,0.704441477016205,0.41956433944759897,9.300672922496418
776,26706,0.705384632335876,0.4176662690942208,9.315811223272204
777,26727,0.706260377986117,0.4159083974829141,9.329867551832251
778,26729,0.706350774466226,0.4157271941206242,9.331318478393788
779,26751,0.707280224012589,0.4138667617860623,9.346121388497583
780,26773,0.708188048015054,0.4120543304887052,9.360569128290303
781,26776,0.708310303073578,0.4118106085153499,9.362514779946462
